sale_id,product_id,customer_id,qty,price,sale_date
101,1013,110,1,500,2025-12-09
101,1009,110,2,500,2025-12-09
101,1003,110,5,120,2025-12-09
102,1005,106,5,220,2025-12-09
103,1008,101,5,150,2025-12-09
103,1005,101,2,220,2025-12-09
104,1003,106,3,200,2025-12-09
105,1020,107,5,250,2025-12-09
105,1007,107,5,80,2025-12-09
105,1020,107,5,220,2025-12-09
106,1016,108,3,500,2025-12-09
106,1008,108,2,90,2025-12-09
107,1006,102,3,300,2025-12-09
107,1002,102,5,220,2025-12-09
107,1016,102,4,500,2025-12-09
108,1010,101,5,600,2025-12-09
109,1010,105,1,250,2025-12-09
109,1015,105,2,110,2025-12-09
110,1002,106,5,25,2025-12-09
110,1016,106,1,200,2025-12-09
111,1014,106,3,500,2025-12-09
112,1007,102,4,60,2025-12-09
113,1009,101,3,500,2025-12-09
114,1005,105,2,220,2025-12-09
115,1020,105,2,220,2025-12-09
115,1004,105,2,60,2025-12-09
115,1017,105,4,60,2025-12-09
116,1019,106,2,60,2025-12-09
117,1014,109,4,120,2025-12-09
117,1005,109,1,110,2025-12-09
117,1004,109,4,90,2025-12-09
118,1017,101,1,90,2025-12-09
118,1019,101,5,40,2025-12-09
119,1006,108,5,300,2025-12-09
120,1020,105,2,120,2025-12-09
120,1017,105,3,80,2025-12-09
121,1017,105,5,80,2025-12-09
122,1018,106,1,250,2025-12-09
122,1016,106,3,120,2025-12-09
123,1012,105,4,95,2025-12-09
124,1007,102,3,180,2025-12-09
124,1005,102,1,350,2025-12-09
124,1013,102,3,220,2025-12-09
125,1015,106,4,250,2025-12-09
126,1008,104,1,250,2025-12-09
127,1018,104,5,120,2025-12-09
128,1009,104,5,25,2025-12-09
129,1002,107,1,130,2025-12-09
130,1005,102,4,110,2025-12-09
131,1001,103,4,40,2025-12-09
132,1015,105,2,200,2025-12-09
133,1002,103,2,130,2025-12-09
133,1011,103,2,80,2025-12-09
133,1005,103,5,80,2025-12-09
134,1006,104,1,60,2025-12-09
135,1014,109,4,130,2025-12-09
136,1002,104,2,350,2025-12-09
137,1015,110,1,500,2025-12-09
138,1012,104,1,80,2025-12-09
139,1001,107,1,250,2025-12-09
139,1011,107,5,350,2025-12-09
139,1003,107,5,600,2025-12-09
140,1010,104,5,300,2025-12-09
140,1005,104,2,180,2025-12-09
140,1006,104,5,500,2025-12-09
141,1006,108,1,95,2025-12-09
142,1003,102,2,500,2025-12-09
143,1001,102,4,95,2025-12-09
144,1009,107,4,60,2025-12-09
145,1017,110,4,150,2025-12-09
145,1006,110,5,120,2025-12-09
146,1009,107,4,220,2025-12-09
147,1008,101,1,180,2025-12-09
147,1017,101,1,150,2025-12-09
147,1001,101,4,90,2025-12-09
148,1004,110,4,200,2025-12-09
148,1001,110,4,300,2025-12-09
149,1001,105,4,200,2025-12-09
150,1005,109,4,70,2025-12-09
151,1014,109,4,80,2025-12-09
152,1010,105,2,95,2025-12-09
153,1009,110,1,200,2025-12-09
153,1001,110,4,25,2025-12-09
154,1014,105,2,120,2025-12-09
154,1009,105,3,200,2025-12-09
154,1006,105,3,40,2025-12-09
155,1019,107,2,110,2025-12-09
156,1018,108,5,90,2025-12-09
157,1008,110,3,130,2025-12-09
157,1006,110,5,600,2025-12-09
158,1011,101,3,800,2025-12-09
158,1003,101,5,70,2025-12-09
159,1001,109,5,95,2025-12-09
159,1017,109,1,350,2025-12-09
159,1018,109,4,60,2025-12-09
160,1001,104,2,25,2025-12-09
161,1019,102,5,250,2025-12-09
162,1009,105,5,150,2025-12-09
162,1016,105,1,110,2025-12-09
163,1007,110,4,70,2025-12-09
164,1021,101,2,50,2025-12-09
